識別碼	年號	地名	級別	代碼
7	11	臺北	2	6
8	11	宜蘭	2	9
9	11	桃園	2	10
10	11	新竹	2	11
11	11	臺中	2	13
12	11	南投	2	14
14	11	嘉義	2	17
15	11	臺南	2	19
17	11	阿緱	2	22
19	11	花蓮港	2	30
20	11	澎湖	2	25
23	12	臺北	1	1
27	12	高雄	1	5
28	12	臺東	2	24
29	12	花蓮港	2	30
33	13	臺北	1	1
35	13	新竹	1	2
36	13	臺南	1	4
37	13	臺東	2	24
38	13	高雄	1	5
39	13	臺中	1	3
40	12	澎湖	2	25
41	13	花蓮港	2	30
43	13	澎湖	2	25
47	11	鹽水港	2	18
49	11	深坑	2	7
50	11	基隆	2	8
51	11	苗栗	2	12
54	11	彰化	2	15
56	11	斗六	2	16
59	11	鳳山	2	20
60	11	蕃薯寮	2	21
62	11	恆春	2	23
65	16	香港區	3	3
66	16	昭南國	3	4
67	16	馬來亞國	3	5
69	16	福州府	3	7
78	16	宮崎縣	3	18
84	16	京都府	3	24
89	16	沖繩縣	3	29
92	16	潮安縣	3	32
94	16	暹羅國	3	37
95	16	東京府	3	38
97	16	惠州府	3	40
101	16	秋田縣	3	45
111	12	新竹	1	2
112	12	臺中	1	3
113	12	臺南	1	4
114	15	澎湖縣	3	9
115	15	新竹縣	3	23
116	15	宜蘭縣	3	46
117	15	苗栗縣	3	39
118	15	臺中縣	3	19
119	15	臺南縣	3	20
120	15	彰化縣	3	47
121	15	花蓮縣	3	28
122	15	臺東縣	3	27
123	15	臺北縣	3	30
124	15	屏東縣	3	48
125	15	高雄縣	3	17
126	15	雲林縣	3	49
127	15	嘉義縣	3	50
128	15	南投縣	3	51
129	15	桃園縣	3	52
138	15	高雄市	3	53
140	12	臺中	2	13
142	12	南投	2	14
143	12	鹽水港	2	18
144	12	阿緱	2	22
145	12	嘉義	2	17
147	12	臺北	2	6
148	12	臺南	2	19
150	12	宜蘭	2	9
151	12	彰化	2	15
162	13	福建省	3	2
163	12	福建省	3	2
167	11	福建省	3	2
171	11	江蘇省	3	11
172	13	浙江省	3	31
173	13	江蘇省	3	11
174	13	安徽省	3	14
175	13	河北省	3	21
176	13	湖北省	3	26
177	12	浙江省	3	31
178	11	浙江省	3	31
179	13	廣東省	3	1
180	13	海南島	3	12
181	11	廣東省	3	1
182	12	廣東省	3	1
183	13	福岡縣	3	25
184	13	鹿兒島縣	3	6
185	13	新京	3	22
186	13	福島縣	3	33
188	13	大分縣	3	74
189	13	熊本縣	3	44
190	13	江西省	3	15
191	13	潮安縣	3	32
192	13	馬來亞國	3	5
195	12	新竹	2	11
197	13	錦州省	3	55
198	13	奉天省	3	56
199	13	特別市	3	54
207	13	秋田縣	3	45
208	13	岡山縣	3	57
214	15	澎湖	2	25
216	15	臺南	1	4
217	15	新竹	1	2
218	12	長崎縣	3	58
219	13	長崎縣	3	58
221	13	東京府	3	38
222	12	安徽省	3	14
223	11	安徽省	3	14
226	13	兵庫縣	3	59
227	13	廣島縣	3	60
228	13	大阪府	3	61
229	12	桃園	2	10
230	13	靜岡縣	3	62
233	13	岩手縣	3	63
236	13	長野縣	3	64
237	12	江蘇省	3	11
269	13	群馬縣	3	66
270	13	京都市	3	67
271	13	愛知縣	3	68
272	13	愛媛縣	3	69
273	13	宮城縣	3	70
274	13	福井縣	3	71
275	13	東京都	3	73
276	13	奈良縣	3	78
277	13	澎湖縣	3	9
279	13	和歌山縣	3	75
281	13	新潟縣	3	76
282	13	櫪木縣	3	77
284	15	高雄	1	5
286	13	沖繩縣	3	29
288	12	江西省	3	15
289	13	富山縣	3	72
290	15	臺北	1	1
292	15	臺中	1	3
293	15	花蓮港	2	30
300	12	山形縣	3	79
302	13	岐阜縣	3	81
307	12	慶尚南道	3	82
308	11	慶尚南道	3	82
309	12	慶尚北道	3	83
311	11	沖繩縣	3	29
314	13	宮崎縣	3	18
315	12	宮城縣	3	70
316	12	廣島縣	3	60
320	16	新竹	2	11
322	16	宜蘭	2	9
329	15	臺東	2	24
330	16	苗栗	2	12
331	16	桃園	2	10
337	16	臺中	2	13
338	8	苗栗	2	12
339	10	苗栗	2	12
340	6	苗栗	2	12
341	8	桃園	2	10
342	5	苗栗	2	12
345	7	新竹	2	11
346	6	苗栗	2	12
347	7	苗栗	2	12
348	11	高雄	1	5
349	2	桃園	2	10
350	13	桃園	2	10
351	11	不確定	3	100
352	12	不確定	3	100
353	13	不確定	3	100
355	12	資賀縣	3	85
356	12	佐賀縣	3	84
357	11	秋田縣	3	86
358	12	福島縣	3	33
359	13	佐賀縣	3	84
360	11	臺東	2	24
361	15	江西省	3	15
362	12	愛媛縣	3	69
363	13	埼玉縣	3	87
364	13	青森縣	3	88
365	13	岩守縣	3	89
366	15	香港區	3	3
