識別碼	上層識別碼	地名	級別	代碼
4	7	大加蚋	2	1
5	7	擺接	2	2
6	7	芝蘭一	2	3
7	7	芝蘭二	2	4
8	7	芝蘭三	2	5
9	7	石碇	2	6
10	7	金包里	2	7
11	7	八里坌	2	8
12	7	基隆	2	60
13	7	三貂	2	62
14	7	文山	2	61
15	7	興直	2	128
16	8	本城	2	9
17	8	民壯圍	2	10
18	8	員山	2	63
19	8	溪洲	2	64
20	8	四圍	2	11
21	8	羅東	2	65
22	8	清水溝	2	14
23	8	二結	2	13
24	8	茅仔寮	2	152
25	8	利澤簡	2	15
26	8	紅水溝	2	17
27	8	浮洲	2	66
28	9	海山	2	67
29	9	桃澗	2	18
30	9	竹北二	2	20
31	10	竹北一	2	21
32	10	竹南一	2	68
33	10	苗栗一	2	23
34	10	苗栗二	2	24
35	11	藍興	2	27
36	11	梀東上	2	26
37	11	梀東下	2	29
38	11	貓羅	2	69
39	11	大肚上	2	30
40	11	大肚中	2	31
41	11	大肚下	2	32
42	11	線東	2	70
43	11	線西	2	71
44	11	燕霧上	2	72
45	11	燕霧下	2	73
46	11	馬芝	2	74
47	11	武東	2	38
48	11	武西	2	75
49	11	東螺東	2	76
50	11	東螺西	2	77
51	11	二林上	2	78
52	11	二林下	2	79
53	11	深耕	2	80
54	11	苗栗三	2	25
55	13	南投	2	81
56	12	南投	2	81
57	12	北投	2	33
58	12	集集	2	34
59	12	五城	2	82
60	12	埔里社	2	36
61	12	北港溪	2	37
62	12	鯉魚頭	2	84
63	12	沙連	2	85
64	12	沙連下	2	35
65	14	嘉義西	2	95
66	14	嘉義東	2	94
67	14	大目根	2	96
68	14	打貓東頂	2	97
70	14	打貓東下	2	133
71	14	打貓南	2	98
72	14	打貓西	2	99
74	14	打貓北	2	131
75	14	白沙墩	2	100
76	14	大坵田	2	101
77	14	他里霧	2	102
78	14	斗六	2	103
79	14	溪洲	2	64
80	14	布嶼	2	104
81	14	海豐	2	105
82	14	尖山	2	137
83	14	蔦松	2	106
84	14	大康榔東頂	2	127
85	14	大康榔東下	2	132
86	14	牛稠溪	2	155
87	14	柴頭港	2	158
88	14	鹿仔草	2	88
89	14	大康榔西	2	89
90	14	大坵田西	2	90
91	14	白鬚公潭	2	91
92	14	龍蛟潭	2	92
93	14	太子宮	2	93
94	14	鐵線橋	2	107
95	14	果毅後	2	108
96	14	哆囉嘓東頂	2	109
97	14	哆囉嘓東下	2	110
98	14	哆囉嘓西	2	111
99	14	下茄苳南	2	112
100	14	下茄苳北	2	113
103	15	效忠	6	1
104	15	外武定	6	2
105	15	內武定	6	3
106	15	楠梓仙溪西	6	4
107	15	內新化南	6	5
108	15	外新化南	6	6
109	15	新化東	6	7
110	15	新化北	6	8
111	15	新化西	6	9
112	15	大目降	6	10
113	15	廣儲東	6	11
114	15	廣儲西	6	12
115	15	保東	6	13
116	15	保西	6	14
117	15	長興上	6	15
118	15	長興下	6	81
119	15	永康上中	6	16
120	15	永康下	6	17
121	15	仁和	6	18
122	15	新昌	6	19
123	15	永寧	6	20
124	15	文賢	6	21
125	15	仁德南	6	22
126	15	仁德北	6	23
127	15	歸仁南	6	24
128	15	永豐	6	25
129	15	外新豐	6	26
130	15	內新豐	6	27
131	15	崇德西	6	28
132	15	依仁	6	29
133	15	長治一圖	6	30
134	15	長治二圖	6	31
135	15	嘉祥外	6	32
136	15	仁壽上	6	33
137	15	觀音上	6	34
138	15	觀音中	6	35
139	15	觀音內	6	36
140	15	觀音下	6	37
141	15	半屏	6	38
142	15	興隆外	6	39
